name,title,adult,popularity,video,vote_count,poster_path,release_date,id,genre_ids,original_title,original_language,origin_country,overview,backdrop_path,original_name,rating,first_air_date,genres
,Godzilla x Kong: The New Empire,False,4088.199,False,2072,/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg,2024-03-27,823464,"[878, 28, 12]",Godzilla x Kong: The New Empire,en,,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",/xf1rEQRi9pZxoN8HfggVnhjOaBb.jpg,,7.274,,"Science Fiction, Action, Adventure"
,Kingdom of the Planet of the Apes,False,1453.845,False,541,/gKkl37BQuKTanygYQG1pyYgLVgf.jpg,2024-05-08,653346,"[878, 12, 28]",Kingdom of the Planet of the Apes,en,,"Several generations in the future following Caesar's reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike.",/fqv8v6AycXKsivp1T5yKtLbGXce.jpg,,7.142,,"Science Fiction, Adventure, Action"
,Furiosa: A Mad Max Saga,False,1298.998,False,144,/iADOJ8Zymht2JPMoy3R7xceZprc.jpg,2024-05-22,786892,"[878, 28, 12]",Furiosa: A Mad Max Saga,en,,"As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",/1sh2S5J7bTPu6LuOgS9gamkGs2J.jpg,,7.7,,"Science Fiction, Action, Adventure"
,Godzilla Minus One,False,943.71,False,1143,/hkxxMIGaiCTmrEArK7J56JTKUlB.jpg,2023-11-03,940721,"[878, 27, 28]",ゴジラ-1.0,ja,,"Postwar Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",/fY3lD0jM5AoHJMunjGWqJ0hRteI.jpg,,7.7,,"Science Fiction, Horror, Action"
,Dune: Part Two,False,902.991,False,4066,/gho58bYmw9juYXmUSHRJKOngJGn.jpg,2024-02-27,693134,"[878, 12]",Dune: Part Two,en,,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",/xOMo8BRK7PfcJv9JCnx7s5hj0PX.jpg,,8.177,,"Science Fiction, Adventure"
,Kung Fu Panda 4,False,776.17,False,1732,/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,1011985,"[16, 28, 10751, 35, 14]",Kung Fu Panda 4,en,,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",/kYgQzzjNis5jJalYtIHgrom0gOx.jpg,,7.133,,"Animation, Action, Family, Comedy, Fantasy"
,Black Lotus,False,671.517,False,96,/y3AeW200hqGLxoPyHMDHpzudylz.jpg,2023-04-12,996154,"[28, 80, 9648, 53]",Black Lotus,en,,An ex-special forces operative wages a one man war through the streets of Amsterdam to rescue his friend's daughter from the local crime syndicate.,/tdkCqOQ87ns39bWtzjJYsGTloH9.jpg,,6.474,,"Action, Crime, Mystery, Thriller"
,Mercy,False,639.322,False,50,/8voINwqMlscROrjhN97fGkmhvEV.jpg,2023-05-12,1111966,"[28, 9648, 53]",Mercy,en,,"An ex-military doctor finds herself in a deadly battle for survival when the Irish mafia seize control of the hospital at which she works. When her son is taken hostage, she is forced to rely upon her battle-hardened past and lethal skills after realizing there’s no one left to save the day but her.",/lUlz0oE3zhAku7QvGoDJCeaFuiO.jpg,,6.2,,"Action, Mystery, Thriller"
,The Garfield Movie,False,673.413,False,98,/p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg,2024-04-30,748783,"[16, 35, 10751]",The Garfield Movie,en,,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",/vWzJDjLPmycnQ42IppEjMpIhrhc.jpg,,6.5,,"Animation, Comedy, Family"
,Chief of Station,False,622.286,False,34,/uuA01PTtPombRPvL9dvsBqOBJWm.jpg,2024-05-02,1093995,"[28, 53]",Chief of Station,en,,"After learning that the death of his wife was not an accident, a former CIA Station Chief is forced back into the espionage underworld, teaming up with an adversary to unravel a conspiracy that challenges everything he thought he knew.",/rmNlWyez5cniGtXkgixG1ezdqVk.jpg,,5.3,,"Action, Thriller"
